159901 深证100ETF 159901.txt
+------------+----------------+-------------------+------+-----+---------------+---------------+---------------+-------+
|    DATE    |     EARN$      |     EARN RATE     |  $   | FEE |       #       |     TOTAL#    |    CURRENT$   | USED$ |
+------------+----------------+-------------------+------+-----+---------------+---------------+---------------+-------+
| 2006-03-31 |      -5.0      |         0         | 2000 |  5  | 1955.88235294 | 1955.88235294 |     1995.0    |  2000 |
| 2006-04-25 | 207.102941176  |   0.103551470588  | 2000 |  5  | 1763.92572944 | 3719.80808238 | 4207.10294118 |  4000 |
| 2006-05-25 |  815.87127477  |   0.203967818692  | 2000 |  5  | 1539.35185185 | 5259.15993424 | 6815.87127477 |  6000 |
| 2006-06-26 | 1115.90255096  |   0.185983758493  | 2000 |  5  | 1473.41211226 |  6732.5720465 | 9115.90255096 |  8000 |
| 2006-07-25 | 1272.48428007  |   0.159060535009  | 2000 |  5  | 1447.75036284 | 8180.32240934 | 11272.4842801 | 10000 |
| 2006-08-25 | 482.173328775  |  0.0482173328775  | 2000 |  5  | 1556.16224649 | 9736.48465583 | 12482.1733288 | 12000 |
| 2006-09-25 | 1246.35561659  |   0.103862968049  | 2000 |  5  | 1465.83394563 | 11202.3186015 | 15246.3556166 | 14000 |
| 2006-10-25 | 2014.31560009  |   0.14387968572   | 2000 |  5  |  1395.1048951 | 12597.4234966 | 18014.3156001 | 16000 |
| 2006-11-27 | 4465.81318192  |   0.27911332387   | 2000 |  5  | 1227.69230769 | 13825.1158043 | 22465.8131819 | 18000 |
| 2006-12-25 | 8248.89491228  |   0.458271939571  | 2000 |  5  | 1050.55292259 | 14875.6687268 | 28248.8949123 | 20000 |
| 2007-01-25 | 15324.7132263  |   0.766235661313  | 2000 |  5  |     840.0     | 15715.6687268 | 37324.7132263 | 22000 |
| 2007-02-26 | 19138.6207269  |   0.869937305767  | 2000 |  5  | 762.032085561 | 16477.7008124 | 43138.6207269 | 24000 |
| 2007-03-26 | 20188.1935789  |   0.841174732453  | 2000 |  5  |  743.84787472 | 17221.5486871 | 46188.1935789 | 26000 |
| 2007-04-25 | 32083.2837217  |   1.23397245083   | 2000 |  5  | 591.461606878 |  17813.010294 | 60083.2837217 | 28000 |
| 2007-05-25 | 43442.9842893  |   1.55153515319   | 2000 |  5  | 497.382198953 |  18310.392493 | 73442.9842893 | 30000 |
| 2007-06-25 | 44445.0558764  |   1.48150186255   | 2000 |  5  | 490.654205607 | 18801.0466986 | 76445.0558764 | 32000 |
| 2007-07-25 |  53633.767712  |    1.676055241    | 2000 |  5  | 437.980241493 | 19239.0269401 |  87633.767712 | 34000 |
| 2007-08-27 | 72386.8189785  |    2.1290240876   | 2000 |  5  | 360.759493671 | 19599.7864337 | 108386.818979 | 36000 |
| 2007-09-25 | 76752.5713533  |   2.13201587092   | 2000 |  5  | 346.775595342 | 19946.5620291 | 114752.571353 | 38000 |
| 2007-10-25 | 72558.7933271  |   1.90944192966   | 2000 |  5  | 359.913404294 | 20306.4754334 | 112558.793327 | 40000 |
| 2007-11-26 | 60613.5857723  |   1.51533964431   | 2000 |  5  | 402.623612513 | 20709.0990459 | 102613.585772 | 42000 |
| 2007-12-25 | 69451.3710649  |   1.65360407297   | 2000 |  5  | 370.680044593 | 21079.7790905 | 113451.371065 | 44000 |
| 2008-01-25 | 71933.7849976  |   1.63485874995   | 2000 |  5  | 362.727272727 | 21442.5063632 | 117933.784998 | 46000 |
| 2008-02-25 | 61164.6468033  |   1.32966623485   | 2000 |  5  | 399.159663866 | 21841.6660271 | 109164.646803 | 48000 |
| 2008-03-25 | 46482.0472331  |   0.968375984023  | 2000 |  5  | 461.165048544 | 22302.8310756 | 96482.0472331 | 50000 |
| 2008-04-25 | 42507.1433016  |   0.850142866032  | 2000 |  5  | 480.954676953 | 22783.7857526 | 94507.1433016 | 52000 |
| 2008-05-26 | 35872.0616476  |   0.689847339377  | 2000 |  5  |  517.24137931 | 23301.0271319 | 89872.0616476 | 54000 |
| 2008-06-25 |  21094.210446  |   0.390633526778  | 2000 |  5  | 618.988520012 | 23920.0156519 |  77094.210446 | 56000 |
| 2008-07-25 | 21113.1304617  |   0.377020186816  | 2000 |  5  | 618.796526055 | 24538.8121779 | 79113.1304617 | 58000 |
| 2008-08-25 | 5354.21304344  |  0.0923140179903  | 2000 |  5  | 772.656855151 | 25311.4690331 | 65354.2130434 | 60000 |
| 2008-09-25 | -371.178958041 | -0.00618631596735 | 2000 |  5  | 846.774193548 | 26158.2432266 |  61628.821042 | 62000 |
| 2008-10-27 | -13429.1423281 |  -0.216599069809  | 2000 |  5  | 1074.31340872 | 27232.5566354 | 50570.8576719 | 64000 |
| 2008-11-25 | -7225.11941527 |  -0.112892490864  | 2000 |  5  | 956.834532374 | 28189.3911677 | 58774.8805847 | 66000 |
| 2008-12-25 | -4467.55908083 |  -0.0676902891035 | 2000 |  5  | 913.879981677 | 29103.2711494 | 63532.4409192 | 68000 |
| 2009-01-23 | -1096.5796275  |  -0.0161261709927 | 2000 |  5  | 867.768595041 | 29971.0397445 | 68903.4203725 | 70000 |
| 2009-02-25 | 11006.7204293  |   0.157238863275  | 2000 |  5  | 738.068812431 | 30709.1085569 | 83006.7204293 | 72000 |
| 2009-03-25 | 14502.5588047  |   0.201424427844  | 2000 |  5  | 708.200212993 | 31417.3087699 | 88502.5588047 | 74000 |
| 2009-04-27 | 17042.3608151  |   0.230302173177  | 2000 |  5  | 688.405797101 |  32105.714567 | 93042.3608151 | 76000 |
| 2009-05-25 | 27953.3037679  |   0.367806628525  | 2000 |  5  | 616.121062384 | 32721.8356294 | 105953.303768 | 78000 |
| 2009-06-25 | 38746.5095256  |   0.496750122123  | 2000 |  5  |  559.1367713  | 33280.9724007 | 118746.509526 | 80000 |
| 2009-07-27 |  62370.99993   |   0.779637499125  | 2000 |  5  |  466.33941094 | 33747.3118116 |  144370.99993 | 82000 |
| 2009-08-25 | 41915.1289722  |   0.511160109417  | 2000 |  5  | 543.300653595 | 34290.6124652 | 125915.128972 | 84000 |
| 2009-09-25 | 40264.1795739  |   0.479335471118  | 2000 |  5  | 550.496688742 | 34841.1091539 | 126264.179574 | 86000 |
| 2009-10-26 | 55554.4264925  |   0.645981703401  | 2000 |  5  | 491.016490278 | 35332.1256442 | 143554.426492 | 88000 |
| 2009-11-25 | 67279.6922063  |   0.76454195689   | 2000 |  5  | 453.924914676 | 35786.0505589 | 157279.692206 | 90000 |
| 2009-12-25 | 60725.8449541  |   0.674731610601  | 2000 |  5  | 473.646723647 | 36259.6972825 | 152725.844954 | 92000 |
+------------+----------------+-------------------+------+-----+---------------+---------------+---------------+-------+
+------------+----------------+-------------------+------+-----+---------------+---------------+---------------+--------+
|    DATE    |     EARN$      |     EARN RATE     |  $   | FEE |       #       |     TOTAL#    |    CURRENT$   | USED$  |
+------------+----------------+-------------------+------+-----+---------------+---------------+---------------+--------+
| 2006-03-31 |      -5.0      |         0         | 2000 |  5  | 1955.88235294 | 1955.88235294 |     1995.0    |  2000  |
| 2006-04-25 | 207.102941176  |   0.103551470588  | 2000 |  5  | 1763.92572944 | 3719.80808238 | 4207.10294118 |  4000  |
| 2006-05-25 |  815.87127477  |   0.203967818692  | 2000 |  5  | 1539.35185185 | 5259.15993424 | 6815.87127477 |  6000  |
| 2006-06-26 | 1115.90255096  |   0.185983758493  | 2000 |  5  | 1473.41211226 |  6732.5720465 | 9115.90255096 |  8000  |
| 2006-07-25 | 1272.48428007  |   0.159060535009  | 2000 |  5  | 1447.75036284 | 8180.32240934 | 11272.4842801 | 10000  |
| 2006-08-25 | 482.173328775  |  0.0482173328775  | 2000 |  5  | 1556.16224649 | 9736.48465583 | 12482.1733288 | 12000  |
| 2006-09-25 | 1246.35561659  |   0.103862968049  | 2000 |  5  | 1465.83394563 | 11202.3186015 | 15246.3556166 | 14000  |
| 2006-10-25 | 2014.31560009  |   0.14387968572   | 2000 |  5  |  1395.1048951 | 12597.4234966 | 18014.3156001 | 16000  |
| 2006-11-27 | 4465.81318192  |   0.27911332387   | 2000 |  5  | 1227.69230769 | 13825.1158043 | 22465.8131819 | 18000  |
| 2006-12-25 | 8248.89491228  |   0.458271939571  | 2000 |  5  | 1050.55292259 | 14875.6687268 | 28248.8949123 | 20000  |
| 2007-01-25 | 15324.7132263  |   0.766235661313  | 2000 |  5  |     840.0     | 15715.6687268 | 37324.7132263 | 22000  |
| 2007-02-26 | 19138.6207269  |   0.869937305767  | 2000 |  5  | 762.032085561 | 16477.7008124 | 43138.6207269 | 24000  |
| 2007-03-26 | 20188.1935789  |   0.841174732453  | 2000 |  5  |  743.84787472 | 17221.5486871 | 46188.1935789 | 26000  |
| 2007-04-25 | 32083.2837217  |   1.23397245083   | 2000 |  5  | 591.461606878 |  17813.010294 | 60083.2837217 | 28000  |
| 2007-05-25 | 43442.9842893  |   1.55153515319   | 2000 |  5  | 497.382198953 |  18310.392493 | 73442.9842893 | 30000  |
| 2007-06-25 | 44445.0558764  |   1.48150186255   | 2000 |  5  | 490.654205607 | 18801.0466986 | 76445.0558764 | 32000  |
| 2007-07-25 |  53633.767712  |    1.676055241    | 2000 |  5  | 437.980241493 | 19239.0269401 |  87633.767712 | 34000  |
| 2007-08-27 | 72386.8189785  |    2.1290240876   | 2000 |  5  | 360.759493671 | 19599.7864337 | 108386.818979 | 36000  |
| 2007-09-25 | 76752.5713533  |   2.13201587092   | 2000 |  5  | 346.775595342 | 19946.5620291 | 114752.571353 | 38000  |
| 2007-10-25 | 72558.7933271  |   1.90944192966   | 2000 |  5  | 359.913404294 | 20306.4754334 | 112558.793327 | 40000  |
| 2007-11-26 | 60613.5857723  |   1.51533964431   | 2000 |  5  | 402.623612513 | 20709.0990459 | 102613.585772 | 42000  |
| 2007-12-25 | 69451.3710649  |   1.65360407297   | 2000 |  5  | 370.680044593 | 21079.7790905 | 113451.371065 | 44000  |
| 2008-01-25 | 71933.7849976  |   1.63485874995   | 2000 |  5  | 362.727272727 | 21442.5063632 | 117933.784998 | 46000  |
| 2008-02-25 | 61164.6468033  |   1.32966623485   | 2000 |  5  | 399.159663866 | 21841.6660271 | 109164.646803 | 48000  |
| 2008-03-25 | 46482.0472331  |   0.968375984023  | 2000 |  5  | 461.165048544 | 22302.8310756 | 96482.0472331 | 50000  |
| 2008-04-25 | 42507.1433016  |   0.850142866032  | 2000 |  5  | 480.954676953 | 22783.7857526 | 94507.1433016 | 52000  |
| 2008-05-26 | 35872.0616476  |   0.689847339377  | 2000 |  5  |  517.24137931 | 23301.0271319 | 89872.0616476 | 54000  |
| 2008-06-25 |  21094.210446  |   0.390633526778  | 2000 |  5  | 618.988520012 | 23920.0156519 |  77094.210446 | 56000  |
| 2008-07-25 | 21113.1304617  |   0.377020186816  | 2000 |  5  | 618.796526055 | 24538.8121779 | 79113.1304617 | 58000  |
| 2008-08-25 | 5354.21304344  |  0.0923140179903  | 2000 |  5  | 772.656855151 | 25311.4690331 | 65354.2130434 | 60000  |
| 2008-09-25 | -371.178958041 | -0.00618631596735 | 2000 |  5  | 846.774193548 | 26158.2432266 |  61628.821042 | 62000  |
| 2008-10-27 | -13429.1423281 |  -0.216599069809  | 2000 |  5  | 1074.31340872 | 27232.5566354 | 50570.8576719 | 64000  |
| 2008-11-25 | -7225.11941527 |  -0.112892490864  | 2000 |  5  | 956.834532374 | 28189.3911677 | 58774.8805847 | 66000  |
| 2008-12-25 | -4467.55908083 |  -0.0676902891035 | 2000 |  5  | 913.879981677 | 29103.2711494 | 63532.4409192 | 68000  |
| 2009-01-23 | -1096.5796275  |  -0.0161261709927 | 2000 |  5  | 867.768595041 | 29971.0397445 | 68903.4203725 | 70000  |
| 2009-02-25 | 11006.7204293  |   0.157238863275  | 2000 |  5  | 738.068812431 | 30709.1085569 | 83006.7204293 | 72000  |
| 2009-03-25 | 14502.5588047  |   0.201424427844  | 2000 |  5  | 708.200212993 | 31417.3087699 | 88502.5588047 | 74000  |
| 2009-04-27 | 17042.3608151  |   0.230302173177  | 2000 |  5  | 688.405797101 |  32105.714567 | 93042.3608151 | 76000  |
| 2009-05-25 | 27953.3037679  |   0.367806628525  | 2000 |  5  | 616.121062384 | 32721.8356294 | 105953.303768 | 78000  |
| 2009-06-25 | 38746.5095256  |   0.496750122123  | 2000 |  5  |  559.1367713  | 33280.9724007 | 118746.509526 | 80000  |
| 2009-07-27 |  62370.99993   |   0.779637499125  | 2000 |  5  |  466.33941094 | 33747.3118116 |  144370.99993 | 82000  |
| 2009-08-25 | 41915.1289722  |   0.511160109417  | 2000 |  5  | 543.300653595 | 34290.6124652 | 125915.128972 | 84000  |
| 2009-09-25 | 40264.1795739  |   0.479335471118  | 2000 |  5  | 550.496688742 | 34841.1091539 | 126264.179574 | 86000  |
| 2009-10-26 | 55554.4264925  |   0.645981703401  | 2000 |  5  | 491.016490278 | 35332.1256442 | 143554.426492 | 88000  |
| 2009-11-25 | 67279.6922063  |   0.76454195689   | 2000 |  5  | 453.924914676 | 35786.0505589 | 157279.692206 | 90000  |
| 2009-12-25 | 60725.8449541  |   0.674731610601  | 2000 |  5  | 473.646723647 | 36259.6972825 | 152725.844954 | 92000  |
| 2010-01-25 | 54194.0994432  |   0.589066298296  | 2000 |  5  | 494.791666667 | 36754.4889492 | 148194.099443 | 94000  |
| 2010-02-25 | 56026.8238907  |   0.59603004139   | 2000 |  5  | 488.731014209 | 37243.2199634 | 152026.823891 | 96000  |
| 2010-03-25 | 51776.0968148  |   0.539334341821  | 2000 |  5  | 502.772177419 | 37745.9921408 | 149776.096815 | 98000  |
| 2010-04-26 | 42070.3768346  |   0.429289559537  | 2000 |  5  | 537.590945837 | 38283.5830867 | 142070.376835 | 100000 |
| 2010-05-25 | 26177.6898537  |   0.261776898537  | 2000 |  5  | 605.279126214 | 38888.8622129 | 128177.689854 | 102000 |
| 2010-06-25 | 22672.6922545  |   0.222281296613  | 2000 |  5  | 622.270742358 | 39511.1329552 | 126672.692255 | 104000 |
| 2010-07-26 | 28001.6952035  |   0.269247069264  | 2000 |  5  |  597.1266088  |  40108.259564 | 134001.695203 | 106000 |
| 2010-08-25 | 33772.2845807  |   0.318606458308  | 2000 |  5  | 572.453371593 | 40680.7129356 | 141772.284581 | 108000 |
| 2010-09-27 | 40805.0479186  |   0.377824517764  | 2000 |  5  | 545.379989065 | 41226.0929247 | 150805.047919 | 110000 |
| 2010-10-25 | 67432.1039479  |   0.613019126799  | 2000 |  5  | 463.522304833 | 41689.6152295 | 179432.103948 | 112000 |
| 2010-11-25 | 57421.5962928  |   0.512692824043  | 2000 |  5  | 490.895669291 | 42180.5108988 | 171421.596293 | 114000 |
| 2010-12-27 | 51595.6857888  |   0.452593734989  | 2000 |  5  | 508.150789608 | 42688.6616884 | 167595.685789 | 116000 |
| 2011-01-25 | 38826.7759439  |   0.334713585724  | 2000 |  5  | 550.041356493 | 43238.7030449 | 156826.775944 | 118000 |
| 2011-02-25 | 57933.2826898  |   0.490960022795  | 2000 |  5  | 490.292455149 | 43728.9955001 |  177933.28269 | 120000 |
| 2011-03-25 | 61863.8922848  |   0.515532435707  | 2000 |  5  | 479.682616013 | 44208.6781161 | 183863.892285 | 122000 |
| 2011-04-25 | 55090.5436652  |   0.451561833322  | 2000 |  5  | 498.015427245 | 44706.6935433 | 179090.543665 | 124000 |
| 2011-05-25 | 41566.2395377  |   0.335211609175  | 2000 |  5  |  538.67962738 | 45245.3731707 | 167566.239538 | 126000 |
| 2011-06-27 | 45470.4397797  |   0.360876506188  | 2000 |  5  | 526.399113433 | 45771.7722841 |  173470.43978 | 128000 |
| 2011-07-25 | 44856.6752083  |   0.350442775065  | 2000 |  5  | 528.252925912 | 46300.0252101 | 174856.675208 | 130000 |
| 2011-08-25 | 40082.7726117  |   0.30832902009   | 2000 |  5  |  543.06402439 | 46843.0892344 | 172082.772612 | 132000 |
| 2011-09-26 | 21574.7523641  |   0.163445093667  | 2000 |  5  | 608.491429269 | 47451.5806637 | 155574.752364 | 134000 |
| 2011-10-25 | 17963.4322336  |   0.13405546443   | 2000 |  5  | 622.931368263 |  48074.512032 | 153963.432234 | 136000 |
| 2011-11-25 | 15516.2470224  |   0.114090051635  | 2000 |  5  | 632.971635256 | 48707.4836672 | 153516.247022 | 138000 |
| 2011-12-26 | -1531.50151277 |  -0.0110978370491 | 2000 |  5  | 712.016845712 | 49419.5005129 | 138468.498487 | 140000 |
| 2012-01-30 | 3390.62268837  |  0.0242187334883  | 2000 |  5  | 687.551695616 | 50107.0522086 | 145390.622688 | 142000 |
| 2012-02-27 | 18683.3057276  |   0.131572575547  | 2000 |  5  | 622.096105273 | 50729.1483138 | 162683.305728 | 144000 |
| 2012-03-26 |  13402.474303  |  0.0930727382153  | 2000 |  5  | 642.946920623 | 51372.0952345 | 159402.474303 | 146000 |
| 2012-04-25 | 16299.9976837  |   0.111643819752  | 2000 |  5  | 631.449009306 | 52003.5442438 | 164299.997684 | 148000 |
| 2012-05-25 | 13804.0279145  |  0.0932704588816  | 2000 |  5  | 641.169853768 | 52644.7140975 | 163804.027914 | 150000 |
